county_id,name,county_fips,state_fips,feature_code,lsad_code,land_area,water_area
48001,Anderson,001,48,01383786,06,2752201306,39808595
24001,Allegany,001,24,01713506,06,1093462025,14801442
06001,Alameda,001,06,01675839,06,1909614756,216907015
12001,Alachua,001,12,00308548,06,2267634813,241567998
51001,Accomack,001,51,01480091,06,1163708393,2229277504
16001,Ada,001,16,00395066,06,2724700350,22164062
38001,Adams,001,38,01034210,06,2557733901,2894336
44001,Bristol,001,44,01219777,06,62502352,53357582
17001,Adams,001,17,00424202,06,2214804481,41776031
20001,Allen,001,20,00484970,06,1295764239,13021929
23001,Androscoggin,001,23,00581286,06,1211990512,75546586
47001,Anderson,001,47,01639722,06,873352567,19665032
31001,Adams,001,31,00835823,06,1458872841,2477677
26001,Alcona,001,26,01622943,06,1747349266,2890404970
01001,Autauga,001,01,00161526,06,1539602137,25706961
50001,Addison,001,50,01461757,06,1984780267,107303387
33001,Belknap,001,33,00873174,06,1040771458,176549424
49001,Beaver,001,49,01448015,06,6689681828,5298466
29001,Adair,001,29,00765805,06,1469362058,5468507
19001,Adair,001,19,00465190,06,1474404191,2597996
53001,Adams,001,53,01531601,06,4985698857,12464425
40001,Adair,001,40,01101788,06,1486277939,8874158
45001,Abbeville,001,45,01245666,06,1272789833,53234749
04001,Apache,001,04,00025441,06,29002035366,54153162
08001,Adams,001,08,00198116,06,3020716474,44323330
72001,Adjuntas,001,72,01804480,13,172725729,1051789
18001,Adams,001,18,00450401,06,877815499,2693924
22001,Acadia,001,22,00558389,15,1696880727,5918557
55001,Adams,001,55,01581060,06,1672216056,108348981
37001,Alamance,001,37,01008531,06,1096718106,27958505
36001,Albany,001,36,00974099,06,1354120788,27124553
34001,Atlantic,001,34,00882270,06,1438776649,301268696
54001,Barbour,001,54,01696996,06,883338380,4639586
35001,Bernalillo,001,35,01702363,06,3007645106,15849400
28001,Adams,001,28,00695726,06,1197464266,65273639
30001,Beaverhead,001,30,01719627,06,14355492109,78345289
15001,Hawaii,001,15,00365280,06,10433635363,2739472558
21001,Adair,001,21,00516847,06,1049691067,18403520
27001,Aitkin,001,27,00663198,06,4718433588,449373340
10001,Kent,001,10,00217271,06,1517888728,549776901
39001,Adams,001,39,01074014,06,1512208932,6165938
32001,Churchill,001,32,00858638,06,12821785223,190748448
42001,Adams,001,42,01213656,06,1343396085,7776214
11001,District of Columbia,001,11,01702382,00,158340389,18687196
13001,Appling,001,13,00349113,06,1316423275,10328007
56001,Albany,001,56,01605066,06,11070455501,89161376
41001,Baker,001,41,01135845,06,7945996793,51832631
25001,Barnstable,001,25,00606927,06,1021019039,2360316945
05001,Arkansas,001,05,00063755,06,2561013146,116378934
09001,Fairfield,001,09,00212794,06,1618659464,549285481
39003,Allen,003,39,01074015,06,1042479889,11259523
18003,Allen,003,18,00450402,06,1702451597,7002354
05003,Ashley,003,05,00063756,06,2396668938,39291076
31003,Antelope,003,31,00835824,06,2220025598,3716666
19003,Adams,003,19,00465191,06,1096686238,5367875
26003,Alger,003,26,01622944,06,2369925449,10703519680
23003,Aroostook,003,23,00581287,06,17278050008,404838270
47003,Bedford,003,47,01639723,06,1226719779,2980755
17003,Alexander,003,17,00424203,06,609667772,44539209
72003,Aguada,003,72,01804481,13,79923633,38025989
