,county_id,csa_id,centrality
7,26091,220,Central
17,39133,184,Central
18,39153,184,Central
24,41043,440,Central
25,36001,104,Central
26,36083,104,Central
27,36091,104,Central
28,36093,104,Central
29,36095,104,Outlying
30,37167,172,Central
33,35001,106,Central
34,35043,106,Central
35,35057,106,Outlying
36,35061,106,Outlying
37,01037,388,Outlying
38,01123,388,Central
42,48131,204,Outlying
43,48249,204,Central
48,26057,394,Central
50,42013,107,Central
52,48011,108,Outlying
53,48065,108,Outlying
54,48359,108,Outlying
55,48375,108,Central
56,48381,108,Central
59,19015,218,Outlying
60,19169,218,Central
61,36057,104,Central
65,18151,258,Central
66,26161,220,Central
68,55015,118,Central
69,55087,118,Central
70,12027,412,Central
73,72013,490,Central
74,72027,490,Central
75,72065,490,Central
76,72115,490,Central
78,37021,120,Central
79,37087,120,Central
80,37089,120,Central
81,37115,120,Outlying
82,39005,360,Central
83,39007,184,Central
85,20005,312,Central
87,47107,174,Central
88,48213,206,Central
89,13059,122,Central
90,13195,122,Outlying
91,13219,122,Central
92,13221,122,Outlying
93,13013,122,Outlying
94,13015,122,Outlying
95,13035,122,Outlying
96,13045,122,Outlying
97,13057,122,Central
98,13063,122,Central
99,13067,122,Central
100,13077,122,Central
101,13085,122,Outlying
102,13089,122,Central
103,13097,122,Central
104,13113,122,Central
105,13117,122,Central
106,13121,122,Central
107,13135,122,Central
108,13143,122,Outlying
109,13149,122,Outlying
110,13151,122,Central
111,13159,122,Outlying
112,13171,122,Outlying
113,13199,122,Outlying
114,13211,122,Outlying
115,13217,122,Central
116,13223,122,Central
117,13227,122,Outlying
118,13231,122,Outlying
119,13247,122,Central
120,13255,122,Central
121,13297,122,Central
122,34001,428,Central
123,01053,426,Central
124,18033,258,Central
125,36011,532,Central
126,01081,194,Central
135,27099,462,Central
143,24003,548,Central
144,24005,548,Central
145,24013,548,Outlying
146,24025,548,Outlying
147,24027,548,Central
148,24035,548,Central
149,24510,548,Central
151,55111,357,Central
152,21179,350,Central
153,25001,148,Central
154,50023,162,Central
155,40147,538,Central
156,36037,464,Central
169,26025,310,Central
170,26017,474,Central
171,48321,288,Central
172,31067,339,Central
176,55027,376,Central
179,18093,144,Central
181,39091,198,Central
184,41017,140,Central
188,26107,266,Central
197,01007,142,Outlying
198,01009,142,Outlying
199,01021,142,Outlying
200,01073,142,Central
201,01115,142,Outlying
202,01117,142,Central
206,16011,292,Central
211,17113,145,Central
212,18105,144,Central
213,18119,144,Outlying
214,42037,146,Central
215,42093,146,Central
219,18179,258,Central
221,22117,406,Central
222,16001,147,Central
223,16015,147,Outlying
224,16027,147,Outlying
225,16045,147,Outlying
226,16073,147,Outlying
227,48147,206,Central
229,48233,108,Central
230,25021,148,Central
231,25023,148,Central
232,25025,148,Central
233,25009,148,Central
234,25017,148,Central
235,33015,148,Central
236,33017,148,Outlying
237,08013,216,Central
238,21003,150,Outlying
239,21031,150,Outlying
240,21061,150,Outlying
241,21227,150,Central
248,53035,500,Central
249,48477,288,Central
250,37175,120,Central
251,09001,408,Central
252,28085,298,Central
255,47075,297,Central
256,48061,154,Central
261,39033,360,Central
262,36029,160,Central
263,36063,160,Central
266,17071,161,Outlying
267,19057,161,Central
268,37001,268,Central
269,50007,162,Central
270,50011,162,Outlying
271,50013,162,Outlying
275,13129,174,Central
276,24037,548,Central
277,24019,480,Central
278,39059,198,Central
283,08043,444,Central
284,39019,184,Outlying
285,39151,184,Central
286,12071,163,Central
287,17003,164,Outlying
288,29017,164,Outlying
289,29031,164,Central
295,32510,456,Central
298,19011,168,Outlying
299,19105,168,Outlying
300,19113,168,Central
301,13233,122,Central
302,39107,338,Central
304,17121,476,Central
305,53041,500,Central
306,42055,548,Central
309,54005,170,Outlying
310,54015,170,Outlying
311,54035,170,Outlying
312,54039,170,Central
313,54043,170,Outlying
319,37007,172,Outlying
320,37025,172,Outlying
321,37071,172,Outlying
322,37097,172,Central
323,37109,172,Outlying
324,37119,172,Central
325,37159,172,Outlying
326,37179,172,Central
327,45023,172,Outlying
328,45057,172,Outlying
329,45091,172,Outlying
335,13047,174,Central
336,13083,174,Outlying
337,13295,174,Central
338,47065,174,Central
339,47115,174,Outlying
340,47153,174,Outlying
342,17031,176,Central
343,17043,176,Central
344,17063,176,Outlying
345,17111,176,Central
346,17197,176,Central
347,17037,176,Outlying
348,17089,176,Central
349,17093,176,Central
350,18073,176,Outlying
351,18089,176,Central
352,18111,176,Outlying
353,18127,176,Central
354,17097,176,Central
355,55059,176,Outlying
357,39141,198,Central
358,18029,178,Outlying
359,18047,178,Outlying
360,18115,178,Outlying
361,18161,178,Outlying
362,21015,178,Central
363,21023,178,Outlying
364,21037,178,Central
365,21077,178,Outlying
366,21081,178,Outlying
367,21117,178,Central
368,21191,178,Outlying
369,39015,178,Outlying
370,39017,178,Central
371,39025,178,Central
372,39061,178,Central
373,39165,178,Central
383,28011,185,Central
384,47011,174,Central
385,47139,174,Outlying
386,39035,184,Central
387,39055,184,Central
388,39085,184,Central
389,39093,184,Outlying
390,39103,184,Central
391,12051,163,Central
392,19045,209,Central
393,35009,188,Central
394,72043,434,Central
395,72123,490,Central
396,16055,518,Central
398,26023,310,Central
404,29019,190,Central
405,29053,190,Outlying
406,29089,190,Outlying
407,45017,192,Outlying
408,45039,192,Outlying
409,45055,192,Outlying
410,45063,192,Central
411,45079,192,Central
412,45081,192,Outlying
413,01113,194,Central
414,13053,194,Central
415,13145,194,Outlying
416,13197,194,Outlying
417,13215,194,Central
418,13259,194,Outlying
419,13263,194,Outlying
420,18005,294,Central
421,28087,200,Central
423,39041,198,Central
424,39045,198,Central
425,39049,198,Central
426,39073,198,Outlying
427,39089,198,Outlying
428,39097,198,Outlying
429,39117,198,Outlying
430,39127,198,Outlying
431,39129,198,Outlying
432,39159,198,Outlying
433,33013,148,Central
434,18041,458,Central
440,28003,539,Central
441,13137,122,Central
442,36101,236,Central
443,48355,204,Central
444,48409,204,Central
445,48349,206,Central
446,36023,296,Central
447,41003,440,Central
449,08081,525,Central
450,18107,294,Central
455,01043,142,Central
460,48085,206,Central
461,48113,206,Central
462,48121,206,Outlying
463,48139,206,Central
464,48231,206,Outlying
465,48257,206,Outlying
466,48397,206,Central
467,48251,206,Central
468,48367,206,Outlying
469,48439,206,Central
470,48497,206,Outlying
471,13213,174,Central
472,13313,174,Central
478,01003,380,Central
479,17073,209,Outlying
480,17131,209,Outlying
