"county_id","tot_population","pop_density","median_age","tot_pop_18plus","tot_pop_65plus","tot_pop_65_74yrs","tot_pop_75_84yrs","tot_pop_85plus","pct_pop_18plus","pct_pop_65plus","pct_pop_65_74yrs","pct_pop_75_84yrs","pct_pop_85plus","tot_pop_male","tot_pop_male_0_9yrs","tot_pop_male_10_19yrs","tot_pop_male_20_29yrs","tot_pop_male_30_39yrs","tot_pop_male_40_49yrs","tot_pop_male_50_64yrs","pct_pop_male","pct_pop_male_0_9yrs","pct_pop_male_10_19yrs","pct_pop_male_20_29yrs","pct_pop_male_30_39yrs","pct_pop_male_40_49yrs","pct_pop_male_50_64yrs","tot_pop_female","tot_pop_female_0_9yrs","tot_pop_female_10_19yrs","tot_pop_female_20_29yrs","tot_pop_female_30_39yrs","tot_pop_female_40_49yrs","tot_pop_female_50_64yrs","pct_pop_female","pct_pop_female_0_9yrs","pct_pop_female_10_19yrs","pct_pop_female_20_29yrs","pct_pop_female_30_39yrs","pct_pop_female_40_49yrs","pct_pop_female_50_64yrs","tot_pop_white_alone","tot_pop_black_alone","tot_pop_american_indian_alaskan_alone","tot_pop_asian_alone","tot_pop_hawaiian_pacific_islander_alone","tot_pop_other_race_alone","tot_pop_two_or_more_races","tot_pop_not_hisp","tot_pop_hisp","pct_pop_white_alone","pct_pop_black_alone","pct_pop_american_indian_alaskan_alone","pct_pop_asian_alone","pct_pop_hawaiian_pacific_islander_alone","pct_pop_other_race_alone","pct_pop_two_or_more_races","pct_pop_hisp","pct_pop_not_hisp","tot_pop_wfh","pct_pop_wfh","avg_hh_size","tot_hh_65plus","pct_hh_65plus","tot_pop_65plus_group_quarters","pct_pop_65plus_group_quarters","tot_hh_below_poverty_level","tot_hh_above_poverty_level","pct_hh_below_poverty_level","pct_hh_above_poverty_level","pct_hh_receive_foodstamps","tot_hh_inc_lessthan_10000","tot_hh_inc_10000_14999","tot_hh_inc_15000_24999","tot_hh_inc_25000_34999","tot_hh_inc_35000_49999","tot_hh_inc_50000_74999","tot_hh_inc_lessthan_75000","tot_hh_inc_75000_99999","pct_hh_inc_lessthan_10000","pct_hh_inc_10000_14999","pct_hh_inc_15000_24999","pct_hh_inc_25000_34999","pct_hh_inc_35000_49999","pct_hh_inc_50000_74999","pct_hh_inc_lessthan_75000","pct_hh_inc_75000_99999"
"01001",55380,35.97,38.2,42175,8283,4818,2581,884,0.7616,0.1496,0.087,0.0466,0.016,26934,3887,3559,3562,3666,3381,5285,0.4863,0.0702,0.0643,0.0643,0.0662,0.0611,0.0954,28446,3144,3853,3610,3703,3899,5548,0.5137,0.0568,0.0696,0.0652,0.0669,0.0704,0.1002,42527,10538,140,573,26,378,1198,53815,1565,0.7679,0.1903,0.0025,0.0103,5e-04,0.0068,0.0216,0.0283,0.9717,839,0.0151,2.56,6008,0.2808,134,0.0024,3148,18249,0.1471,0.8529,12.8,1417,1172,2219,1684,2721,3817,13030,2931,0.0662,0.0548,0.1037,0.0787,0.1272,0.1784,60.9,0.137
"01003",212830,51.69,43,166595,42531,25739,12744,4048,0.7828,0.1998,0.1209,0.0599,0.019,103496,11531,14256,11593,12282,12809,21290,0.4863,0.0542,0.067,0.0545,0.0577,0.0602,0.1,109334,12216,12837,11459,12719,13828,23479,0.5137,0.0574,0.0603,0.0538,0.0598,0.065,0.1103,183471,19718,1645,1969,9,2429,3589,203119,9711,0.8621,0.0926,0.0077,0.0093,0,0.0114,0.0169,0.0456,0.9544,6057,0.0285,2.59,28759,0.3554,768,0.0036,8492,72438,0.1049,0.8951,7.7,4068,3685,7092,8403,11245,14928,49421,10374,0.0503,0.0455,0.0876,0.1038,0.1389,0.1845,61.1,0.1282
"01005",25361,11.06,40.4,20054,4710,2844,1461,405,0.7907,0.1857,0.1121,0.0576,0.016,13421,1421,1497,2084,1977,1917,2498,0.5292,0.056,0.059,0.0822,0.078,0.0756,0.0985,11940,1550,1337,1335,1342,1251,2442,0.4708,0.0611,0.0527,0.0526,0.0529,0.0493,0.0963,11869,12066,82,134,1,905,304,24256,1105,0.468,0.4758,0.0032,0.0053,0,0.0357,0.012,0.0436,0.9564,123,0.0048,2.41,3356,0.3591,187,0.0074,2570,6775,0.275,0.725,26.8,1391,796,1641,1092,1331,1239,7490,769,0.1488,0.0852,0.1756,0.1169,0.1424,0.1326,80.1,0.0823
"01007",22493,13.95,40.9,17862,3584,2098,1044,442,0.7941,0.1593,0.0933,0.0464,0.0197,12150,1375,1468,1496,1985,1795,2435,0.5402,0.0611,0.0653,0.0665,0.0882,0.0798,0.1083,10343,1159,1064,1351,1152,1467,2162,0.4598,0.0515,0.0473,0.0601,0.0512,0.0652,0.0961,17272,5014,30,27,0,9,141,21914,579,0.7679,0.2229,0.0013,0.0012,0,4e-04,0.0063,0.0257,0.9743,257,0.0114,2.99,2284,0.3314,172,0.0076,1266,5625,0.1837,0.8163,16.2,570,554,897,610,1021,1100,4752,1119,0.0827,0.0804,0.1302,0.0885,0.1482,0.1596,69,0.1624
"01009",57681,34.54,40.7,44292,10326,6111,3160,1055,0.7679,0.179,0.1059,0.0548,0.0183,28495,3484,4070,3414,3234,4000,5684,0.494,0.0604,0.0706,0.0592,0.0561,0.0693,0.0985,29186,3538,3586,3301,3268,4051,5725,0.506,0.0613,0.0622,0.0572,0.0567,0.0702,0.0993,55062,928,46,212,25,492,916,52339,5342,0.9546,0.0161,8e-04,0.0037,4e-04,0.0085,0.0159,0.0926,0.9074,329,0.0057,2.74,6769,0.3247,237,0.0041,2962,17885,0.1421,0.8579,9.5,1706,1145,2199,2600,2921,4050,14621,2497,0.0818,0.0549,0.1055,0.1247,0.1401,0.1943,70.1,0.1198
"01011",10248,6.35,40.2,8120,1640,1020,449,171,0.7923,0.16,0.0995,0.0438,0.0167,5571,643,750,708,824,857,1086,0.5436,0.0627,0.0732,0.0691,0.0804,0.0836,0.106,4677,537,618,570,434,607,974,0.4564,0.0524,0.0603,0.0556,0.0423,0.0592,0.095,2244,7666,0,50,0,210,78,9986,262,0.219,0.748,0,0.0049,0,0.0205,0.0076,0.0256,0.9744,80,0.0078,2.79,1120,0.3181,118,0.0115,994,2527,0.2823,0.7177,22.5,547,340,373,465,399,697,2821,247,0.1554,0.0966,0.1059,0.1321,0.1133,0.198,80.1,0.0702
"01013",19828,9.85,40.8,15373,3900,2288,1087,525,0.7753,0.1967,0.1154,0.0548,0.0265,9081,1159,1268,1135,1119,997,1807,0.458,0.0585,0.0639,0.0572,0.0564,0.0503,0.0911,10747,1282,1207,1128,1376,1251,2199,0.542,0.0647,0.0609,0.0569,0.0694,0.0631,0.1109,10280,9001,11,69,0,42,425,19551,277,0.5185,0.454,6e-04,0.0035,0,0.0021,0.0214,0.014,0.986,96,0.0048,3,2232,0.3431,142,0.0072,1331,5175,0.2046,0.7954,16.6,616,526,866,762,1101,959,4830,821,0.0947,0.0808,0.1331,0.1171,0.1692,0.1474,74.2,0.1262
"01015",114618,73.04,39.6,89666,19738,11727,5951,2060,0.7823,0.1722,0.1023,0.0519,0.018,55141,6710,7727,7678,6888,6450,11316,0.4811,0.0585,0.0674,0.067,0.0601,0.0563,0.0987,59477,6517,7169,7775,7429,7029,12192,0.5189,0.0569,0.0625,0.0678,0.0648,0.0613,0.1064,84439,23830,379,1014,14,2202,2740,110266,4352,0.7367,0.2079,0.0033,0.0088,1e-04,0.0192,0.0239,0.038,0.962,1199,0.0105,2.5,13980,0.3134,489,0.0043,8033,36572,0.1801,0.8199,17.2,3577,2966,5442,5123,6067,8401,31576,5194,0.0802,0.0665,0.122,0.1149,0.136,0.1883,70.8,0.1164
"01017",33660,21.79,42,26595,6470,3958,1859,653,0.7901,0.1922,0.1176,0.0552,0.0194,16089,1946,1860,2267,1907,1935,3403,0.478,0.0578,0.0553,0.0673,0.0567,0.0575,0.1011,17571,1892,1982,2152,2065,2073,3708,0.522,0.0562,0.0589,0.0639,0.0613,0.0616,0.1102,19423,13316,112,376,0,91,342,32860,800,0.577,0.3956,0.0033,0.0112,0,0.0027,0.0102,0.0238,0.9762,282,0.0084,2.46,4652,0.3459,215,0.0064,2429,11019,0.1806,0.8194,15.5,1011,886,2132,1780,1754,2446,10009,1867,0.0752,0.0659,0.1585,0.1324,0.1304,0.1819,74.4,0.1388
"01019",25903,18.07,46.5,20658,5811,3511,1787,513,0.7975,0.2243,0.1355,0.069,0.0198,12777,1344,1538,1451,1332,1499,2913,0.4933,0.0519,0.0594,0.056,0.0514,0.0579,0.1125,13126,1297,1549,1250,1239,1587,3093,0.5067,0.0501,0.0598,0.0483,0.0478,0.0613,0.1194,24052,1191,280,64,0,91,225,25490,413,0.9285,0.046,0.0108,0.0025,0,0.0035,0.0087,0.0159,0.9841,162,0.0063,2.39,4045,0.3767,158,0.0061,1678,9059,0.1563,0.8437,16.4,745,725,1804,1114,1544,2068,8000,1249,0.0694,0.0675,0.168,0.1038,0.1438,0.1926,74.5,0.1163
"01021",44055,24.55,38.7,33420,7052,4152,2288,612,0.7586,0.1601,0.0942,0.0519,0.0139,21459,2854,2883,2806,2737,2813,4163,0.4871,0.0648,0.0654,0.0637,0.0621,0.0639,0.0945,22596,3130,2668,2684,2833,3079,4353,0.5129,0.071,0.0606,0.0609,0.0643,0.0699,0.0988,36835,4041,361,195,0,1530,1093,40598,3457,0.8361,0.0917,0.0082,0.0044,0,0.0347,0.0248,0.0785,0.9215,392,0.0089,2.58,5030,0.2972,144,0.0033,3207,13720,0.1895,0.8105,17.3,1421,1155,2132,2051,2000,3352,12111,2144,0.0839,0.0682,0.126,0.1212,0.1182,0.198,71.5,0.1267
"01023",12925,5.46,46.3,10322,2922,1660,960,302,0.7986,0.2261,0.1284,0.0743,0.0234,6145,642,884,644,698,628,1374,0.4754,0.0497,0.0684,0.0498,0.054,0.0486,0.1063,6780,665,759,663,590,914,1542,0.5246,0.0515,0.0587,0.0513,0.0456,0.0707,0.1193,7337,5500,8,17,0,12,51,12872,53,0.5677,0.4255,6e-04,0.0013,0,9e-04,0.0039,0.0041,0.9959,78,0.006,2.4,2058,0.3883,65,0.005,1202,4098,0.2268,0.7732,22.8,592,498,793,701,738,617,3939,543,0.1117,0.094,0.1496,0.1323,0.1392,0.1164,74.3,0.1025
"01025",24128,7.52,42.5,18841,4679,2583,1524,572,0.7809,0.1939,0.1071,0.0632,0.0237,11403,1362,1561,1432,1195,1409,2397,0.4726,0.0564,0.0647,0.0594,0.0495,0.0584,0.0993,12725,1335,1596,1492,1452,1510,2708,0.5274,0.0553,0.0661,0.0618,0.0602,0.0626,0.1122,12781,11044,26,104,0,0,173,24049,79,0.5297,0.4577,0.0011,0.0043,0,0,0.0072,0.0033,0.9967,75,0.0031,2.61,3150,0.3465,155,0.0064,2377,6713,0.2615,0.7385,17.4,1713,600,1024,957,1292,1253,6839,740,0.1884,0.066,0.1127,0.1053,0.1421,0.1378,75.2,0.0814
