county_id,msa_id,csa_id,centrality
46013,10100,NULL,Central
46045,10100,NULL,Outlying
53027,10140,NULL,Central
48059,10180,NULL,Outlying
48253,10180,NULL,Outlying
48441,10180,NULL,Central
40123,10220,NULL,Central
26091,10300,220,Central
72003,10380,NULL,Central
72005,10380,NULL,Central
72011,10380,NULL,Central
72071,10380,NULL,Central
72081,10380,NULL,Central
72099,10380,NULL,Central
72117,10380,NULL,Central
72131,10380,NULL,Central
72141,10380,NULL,Central
39133,10420,184,Central
39153,10420,184,Central
35035,10460,NULL,Central
13095,10500,NULL,Central
13177,10500,NULL,Central
13273,10500,NULL,Outlying
13321,10500,NULL,Outlying
41043,10540,440,Central
36001,10580,104,Central
36083,10580,104,Central
36091,10580,104,Central
36093,10580,104,Central
36095,10580,104,Outlying
37167,10620,172,Central
27047,10660,NULL,Central
01095,10700,NULL,Central
35001,10740,106,Central
35043,10740,106,Central
35057,10740,106,Outlying
35061,10740,106,Outlying
01037,10760,388,Outlying
01123,10760,388,Central
22043,10780,NULL,Outlying
22079,10780,NULL,Central
27041,10820,NULL,Central
48131,10860,204,Outlying
48249,10860,204,Central
34041,10900,NULL,Central
42025,10900,NULL,Central
42077,10900,NULL,Central
42095,10900,NULL,Central
26057,10940,394,Central
26007,10980,NULL,Central
42013,11020,107,Central
40065,11060,NULL,Central
48011,11100,108,Outlying
48065,11100,108,Outlying
48359,11100,108,Outlying
48375,11100,108,Central
48381,11100,108,Central
13249,11140,NULL,Outlying
13261,11140,NULL,Central
19015,11180,218,Outlying
19169,11180,218,Central
36057,11220,104,Central
02020,11260,NULL,Central
02170,11260,NULL,Outlying
48003,11380,NULL,Central
18151,11420,258,Central
26161,11460,220,Central
01015,11500,NULL,Central
55015,11540,118,Central
55087,11540,118,Central
12027,11580,412,Central
40019,11620,NULL,Central
40085,11620,NULL,Outlying
72013,11640,490,Central
72027,11640,490,Central
72065,11640,490,Central
72115,11640,490,Central
05019,11660,NULL,Central
37021,11700,120,Central
37087,11700,120,Central
37089,11700,120,Central
37115,11700,120,Outlying
39005,11740,360,Central
39007,11780,184,Central
41007,11820,NULL,Central
20005,11860,312,Central
39009,11900,NULL,Central
47107,11940,174,Central
48213,11980,206,Central
13059,12020,122,Central
13195,12020,122,Outlying
13219,12020,122,Central
13221,12020,122,Outlying
13013,12060,122,Outlying
13015,12060,122,Outlying
13035,12060,122,Outlying
13045,12060,122,Outlying
13057,12060,122,Central
13063,12060,122,Central
13067,12060,122,Central
13077,12060,122,Central
13085,12060,122,Outlying
13089,12060,122,Central
13097,12060,122,Central
13113,12060,122,Central
13117,12060,122,Central
13121,12060,122,Central
13135,12060,122,Central
13143,12060,122,Outlying
13149,12060,122,Outlying
13151,12060,122,Central
13159,12060,122,Outlying
13171,12060,122,Outlying
13199,12060,122,Outlying
13211,12060,122,Outlying
13217,12060,122,Central
13223,12060,122,Central
13227,12060,122,Outlying
13231,12060,122,Outlying
13247,12060,122,Central
13255,12060,122,Central
13297,12060,122,Central
34001,12100,428,Central
01053,12120,426,Central
18033,12140,258,Central
36011,12180,532,Central
01081,12220,194,Central
13033,12260,NULL,Outlying
13073,12260,NULL,Central
13181,12260,NULL,Outlying
13189,12260,NULL,Outlying
13245,12260,NULL,Central
45003,12260,NULL,Central
45037,12260,NULL,Outlying
23011,12300,NULL,Central
27099,12380,462,Central
48021,12420,NULL,Outlying
48055,12420,NULL,Outlying
48209,12420,NULL,Central
48453,12420,NULL,Central
48491,12420,NULL,Central
13087,12460,NULL,Central
06029,12540,NULL,Central
24003,12580,548,Central
24005,12580,548,Central
24013,12580,548,Outlying
24025,12580,548,Outlying
24027,12580,548,Central
24035,12580,548,Central
24510,12580,548,Central
23019,12620,NULL,Central
55111,12660,357,Central
21179,12680,350,Central
25001,12700,148,Central
50023,12740,162,Central
40147,12780,538,Central
36037,12860,464,Central
05063,12900,NULL,Central
05135,12900,NULL,Outlying
22005,12940,NULL,Central
22007,12940,NULL,Outlying
22033,12940,NULL,Central
22037,12940,NULL,Outlying
22047,12940,NULL,Central
22063,12940,NULL,Central
22077,12940,NULL,Outlying
22091,12940,NULL,Outlying
22121,12940,NULL,Central
22125,12940,NULL,Outlying
26025,12980,310,Central
26017,13020,474,Central
48321,13060,288,Central
31067,13100,339,Central
48199,13140,NULL,Outlying
48245,13140,NULL,Central
48361,13140,NULL,Central
55027,13180,376,Central
54019,13220,NULL,Central
54081,13220,NULL,Central
18093,13260,144,Central
48025,13300,NULL,Central
39091,13340,198,Central
53073,13380,NULL,Central
27007,13420,NULL,Central
41017,13460,140,Central
45069,13500,NULL,Central
50003,13540,NULL,Central
33007,13620,NULL,Central
26107,13660,266,Central
48227,13700,NULL,Central
51195,13720,NULL,Central
51720,13720,NULL,Central
30009,13740,NULL,Outlying
30095,13740,NULL,Outlying
30111,13740,NULL,Central
36007,13780,NULL,Central
36107,13780,NULL,Central
01007,13820,142,Outlying
01009,13820,142,Outlying
01021,13820,142,Outlying
01073,13820,142,Central
01115,13820,142,Outlying
01117,13820,142,Central
38015,13900,NULL,Central
38059,13900,NULL,Central
38065,13900,NULL,Outlying
16011,13940,292,Central
51071,13980,NULL,Outlying
51121,13980,NULL,Central
51155,13980,NULL,Outlying
51750,13980,NULL,Central
17113,14010,145,Central
18105,14020,144,Central
18119,14020,144,Outlying
42037,14100,146,Central
42093,14100,146,Central
51021,14140,NULL,Outlying
51185,14140,NULL,Central
54055,14140,NULL,Central
18179,14160,258,Central
05093,14180,NULL,Central
22117,14220,406,Central
16001,14260,147,Central
16015,14260,147,Outlying
16027,14260,147,Outlying
16045,14260,147,Outlying
16073,14260,147,Outlying
48147,14300,206,Central
37189,14380,NULL,Central
48233,14420,108,Central
25021,14460,148,Central
25023,14460,148,Central
25025,14460,148,Central
25009,14460,148,Central
25017,14460,148,Central
33015,14460,148,Central
33017,14460,148,Outlying
08013,14500,216,Central
21003,14540,150,Outlying
21031,14540,150,Outlying
21061,14540,150,Outlying
21227,14540,150,Central
30031,14580,NULL,Central
42083,14620,NULL,Central
27021,14660,NULL,Outlying
27035,14660,NULL,Central
29213,14700,NULL,Central
08117,14720,NULL,Central
53035,14740,500,Central
48477,14780,288,Central
37175,14820,120,Central
09001,14860,408,Central
28085,15020,298,Central
41015,15060,NULL,Central
46011,15100,NULL,Central
47075,15140,297,Central
48061,15180,154,Central
48049,15220,NULL,Central
13025,15260,NULL,Outlying
13127,15260,NULL,Central
13191,15260,NULL,Outlying
39033,15340,360,Central
36029,15380,160,Central
36063,15380,160,Central
16031,15420,NULL,Central
16067,15420,NULL,Outlying
17071,15460,161,Outlying
19057,15460,161,Central
37001,15500,268,Central
50007,15540,162,Central
50011,15540,162,Outlying
50013,15540,162,Outlying
30093,15580,NULL,Central
26113,15620,NULL,Outlying
26165,15620,NULL,Central
13129,15660,174,Central
24037,15680,548,Central
24019,15700,480,Central
39059,15740,198,Central
05013,15780,NULL,Outlying
05103,15780,NULL,Central
21087,15820,NULL,Outlying
21217,15820,NULL,Central
08043,15860,444,Central
39019,15940,184,Outlying
39151,15940,184,Central
12071,15980,163,Central
17003,16020,164,Outlying
29017,16020,164,Outlying
29031,16020,164,Central
17077,16060,NULL,Central
17087,16060,NULL,Outlying
17199,16060,NULL,Central
35015,16100,NULL,Central
19027,16140,NULL,Central
32510,16180,456,Central
56025,16220,NULL,Central
49021,16260,NULL,Central
19011,16300,168,Outlying
19105,16300,168,Outlying
19113,16300,168,Central
13233,16340,122,Central
39107,16380,338,Central
21177,16420,NULL,Central
17121,16460,476,Central
53041,16500,500,Central
42055,16540,548,Central
17019,16580,NULL,Central
17147,16580,NULL,Outlying
54005,16620,170,Outlying
54015,16620,170,Outlying
54035,16620,170,Outlying
54039,16620,170,Central
54043,16620,170,Outlying
17029,16660,NULL,Central
17035,16660,NULL,Outlying
45015,16700,NULL,Central
45019,16700,NULL,Central
45035,16700,NULL,Central
37007,16740,172,Outlying
37025,16740,172,Outlying
37071,16740,172,Outlying
37097,16740,172,Central
37109,16740,172,Outlying
37119,16740,172,Central
37159,16740,172,Outlying
37179,16740,172,Central
45023,16740,172,Outlying
45057,16740,172,Outlying
45091,16740,172,Outlying
51003,16820,NULL,Central
51065,16820,NULL,Outlying
51079,16820,NULL,Outlying
51125,16820,NULL,Outlying
51540,16820,NULL,Central
13047,16860,174,Central
13083,16860,174,Outlying
13295,16860,174,Central
47065,16860,174,Central
47115,16860,174,Outlying
47153,16860,174,Outlying
56021,16940,NULL,Central
17031,16980,176,Central
17043,16980,176,Central
17063,16980,176,Outlying
17111,16980,176,Central
17197,16980,176,Central
17037,16980,176,Outlying
17089,16980,176,Central
17093,16980,176,Central
18073,16980,176,Outlying
18089,16980,176,Central
18111,16980,176,Outlying
18127,16980,176,Central
17097,16980,176,Central
55059,16980,176,Outlying
06007,17020,NULL,Central
39141,17060,198,Central
18029,17140,178,Outlying
18047,17140,178,Outlying
18115,17140,178,Outlying
18161,17140,178,Outlying
21015,17140,178,Central
21023,17140,178,Outlying
21037,17140,178,Central
21077,17140,178,Outlying
21081,17140,178,Outlying
21117,17140,178,Central
21191,17140,178,Outlying
39015,17140,178,Outlying
39017,17140,178,Central
39025,17140,178,Central
39061,17140,178,Central
39165,17140,178,Central
54017,17220,NULL,Outlying
54033,17220,NULL,Central
54091,17220,NULL,Outlying
28027,17260,NULL,Central
21047,17300,NULL,Outlying
21221,17300,NULL,Outlying
47125,17300,NULL,Central
47161,17300,NULL,Outlying
06033,17340,NULL,Central
28011,17380,185,Central
47011,17420,174,Central
47139,17420,174,Outlying
39035,17460,184,Central
39055,17460,184,Central
39085,17460,184,Central
39093,17460,184,Outlying
39103,17460,184,Central
12051,17500,163,Central
19045,17540,209,Central
35009,17580,188,Central
72043,17620,434,Central
72123,17640,490,Central
16055,17660,518,Central
20125,17700,NULL,Central
26023,17740,310,Central
48041,17780,NULL,Central
48051,17780,NULL,Outlying
48395,17780,NULL,Outlying
08041,17820,NULL,Central
08119,17820,NULL,Outlying
29019,17860,190,Central
29053,17860,190,Outlying
29089,17860,190,Outlying
45017,17900,192,Outlying
45039,17900,192,Outlying
45055,17900,192,Outlying
45063,17900,192,Central
45079,17900,192,Central
45081,17900,192,Outlying
01113,17980,194,Central
13053,17980,194,Central
13145,17980,194,Outlying
13197,17980,194,Outlying
13215,17980,194,Central
13259,17980,194,Outlying
13263,17980,194,Outlying
18005,18020,294,Central
28087,18060,200,Central
31141,18100,NULL,Central
39041,18140,198,Central
39045,18140,198,Central
39049,18140,198,Central
39073,18140,198,Outlying
39089,18140,198,Outlying
39097,18140,198,Outlying
39117,18140,198,Outlying
39127,18140,198,Outlying
39129,18140,198,Outlying
39159,18140,198,Outlying
33013,18180,148,Central
18041,18220,458,Central
47087,18260,NULL,Outlying
47133,18260,NULL,Outlying
47141,18260,NULL,Central
41011,18300,NULL,Central
13081,18380,NULL,Central
28003,18420,539,Central
13137,18460,122,Central
36101,18500,236,Central
48355,18580,204,Central
48409,18580,204,Central
48349,18620,206,Central
36023,18660,296,Central
41003,18700,440,Central
39031,18740,NULL,Central
08081,18780,525,Central
18107,18820,294,Central
06015,18860,NULL,Central
12091,18880,NULL,Central
12131,18880,NULL,Central
47035,18900,NULL,Central
01043,18980,142,Central
37099,19000,NULL,Central
37173,19000,NULL,Outlying
24001,19060,NULL,Central
54057,19060,NULL,Outlying
48085,19100,206,Central
48113,19100,206,Central
48121,19100,206,Outlying
48139,19100,206,Central
48231,19100,206,Outlying
48257,19100,206,Outlying
48397,19100,206,Central
48251,19100,206,Central
48367,19100,206,Outlying
48439,19100,206,Central
48497,19100,206,Outlying
13213,19140,174,Central
13313,19140,174,Central
17183,19180,NULL,Central
21021,19220,NULL,Central
21137,19220,NULL,Outlying
51143,19260,NULL,Central
51590,19260,NULL,Central
01003,19300,380,Central
17073,19340,209,Outlying
17131,19340,209,Outlying
17161,19340,209,Central
19163,19340,209,Central
47143,19420,174,Central
39057,19430,212,Central
39109,19430,212,Central
39113,19430,212,Central
01079,19460,290,Outlying
01103,19460,290,Central
17115,19500,NULL,Central
18001,19540,258,Central
39039,19580,NULL,Central
48465,19620,NULL,Central
12035,19660,422,Central
12127,19660,422,Central
35029,19700,NULL,Central
08001,19740,216,Central
08005,19740,216,Central
08014,19740,216,Central
08019,19740,216,Outlying
08031,19740,216,Central
08035,19740,216,Central
08039,19740,216,Outlying
08047,19740,216,Outlying
08059,19740,216,Central
08093,19740,216,Outlying
22011,19760,217,Central
19049,19780,218,Central
19077,19780,218,Outlying
19099,19780,218,Outlying
19121,19780,218,Outlying
19153,19780,218,Central
19181,19780,218,Outlying
26163,19820,220,Central
26087,19820,220,Outlying
26093,19820,220,Outlying
26099,19820,220,Central
26125,19820,220,Central
26147,19820,220,Outlying
38007,19860,NULL,Outlying
38089,19860,NULL,Central
17103,19940,221,Central
20057,19980,NULL,Central
01061,20020,222,Outlying
01067,20020,222,Outlying
01069,20020,222,Central
13003,20060,NULL,Outlying
13069,20060,NULL,Central
10001,20100,428,Central
13167,20140,NULL,Outlying
13175,20140,NULL,Central
13283,20140,NULL,Outlying
42033,20180,524,Central
19061,20220,NULL,Central
27017,20260,NULL,Outlying
27075,20260,NULL,Outlying
27137,20260,NULL,Central
55031,20260,NULL,Central
48341,20300,NULL,Central
40137,20340,NULL,Central
08067,20420,NULL,Central
40013,20460,206,Central
37037,20500,450,Central
37063,20500,450,Central
37077,20500,450,Outlying
37135,20500,450,Central
37145,20500,450,Outlying
47045,20540,NULL,Central
48323,20580,NULL,Central
24041,20660,548,Central
42089,20700,408,Central
55017,20740,232,Central
55035,20740,232,Central
08037,20780,233,Central
17049,20820,NULL,Central
48481,20900,288,Central
06025,20940,NULL,Central
05139,20980,NULL,Central
37139,21020,545,Central
37143,21020,545,Outlying
21093,21060,350,Central
21123,21060,350,Outlying
21163,21060,350,Outlying
40009,21120,NULL,Central
18039,21140,515,Central
54083,21180,NULL,Central
32007,21220,NULL,Central
32011,21220,NULL,Outlying
53037,21260,NULL,Central
36015,21300,236,Central
48141,21340,238,Central
48229,21340,238,Outlying
20017,21380,NULL,Outlying
20111,21380,NULL,Central
40047,21420,NULL,Central
01031,21460,NULL,Central
42049,21500,240,Central
26041,21540,NULL,Central
35039,21580,106,Central
01005,21640,NULL,Central
13239,21640,NULL,Outlying
41039,21660,NULL,Central
06023,21700,NULL,Central
56041,21740,NULL,Central
18129,21780,NULL,Outlying
18163,21780,NULL,Central
18173,21780,NULL,Central
21101,21780,NULL,Central
02090,21820,NULL,Central
19101,21840,NULL,Central
27091,21860,NULL,Central
54049,21900,390,Central
32001,21980,NULL,Central
27027,22020,244,Central
38017,22020,244,Central
27131,22060,378,Central
