csa_id,csa_fips,name
220,220,"Detroit-Warren-Ann Arbor, MI"
184,184,"Cleveland-Akron-Canton, OH"
440,440,"Portland-Vancouver-Salem, OR-WA"
104,104,"Albany-Schenectady, NY"
172,172,"Charlotte-Concord, NC-SC"
106,106,"Albuquerque-Santa Fe-Las Vegas, NM"
388,388,"Montgomery-Selma-Alexander City, AL"
204,204,"Corpus Christi-Kingsville-Alice, TX"
394,394,"Mount Pleasant-Alma, MI"
107,107,"Altoona-Huntingdon, PA"
108,108,"Amarillo-Pampa-Borger, TX"
218,218,"Des Moines-Ames-West Des Moines, IA"
258,258,"Fort Wayne-Huntington-Auburn, IN"
118,118,"Appleton-Oshkosh-Neenah, WI"
412,412,"North Port-Sarasota, FL"
490,490,"San Juan-Bayamón, PR"
120,120,"Asheville-Marion-Brevard, NC"
360,360,"Mansfield-Ashland-Bucyrus, OH"
312,312,"Kansas City-Overland Park-Kansas City, MO-KS"
174,174,"Chattanooga-Cleveland-Dalton, TN-GA"
206,206,"Dallas-Fort Worth, TX-OK"
122,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
428,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
426,426,"Pensacola-Ferry Pass, FL-AL"
532,532,"Syracuse-Auburn, NY"
194,194,"Columbus-Auburn-Opelika, GA-AL"
462,462,"Rochester-Austin, MN"
548,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
357,357,"Madison-Janesville-Beloit, WI"
350,350,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN"
148,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
162,162,"Burlington-South Burlington-Barre, VT"
538,538,"Tulsa-Muskogee-Bartlesville, OK"
464,464,"Rochester-Batavia-Seneca Falls, NY"
310,310,"Kalamazoo-Battle Creek-Portage, MI"
474,474,"Saginaw-Midland-Bay City, MI"
288,288,"Houston-The Woodlands, TX"
339,339,"Lincoln-Beatrice, NE"
376,376,"Milwaukee-Racine-Waukesha, WI"
144,144,"Bloomington-Bedford, IN"
198,198,"Columbus-Marion-Zanesville, OH"
140,140,"Bend-Prineville, OR"
266,266,"Grand Rapids-Kentwood-Muskegon, MI"
142,142,"Birmingham-Hoover-Talladega, AL"
292,292,"Idaho Falls-Rexburg-Blackfoot, ID"
145,145,"Bloomington-Pontiac, IL"
146,146,"Bloomsburg-Berwick-Sunbury, PA"
406,406,"New Orleans-Metairie-Hammond, LA-MS"
147,147,"Boise City-Mountain Home-Ontario, ID-OR"
216,216,"Denver-Aurora, CO"
150,150,"Bowling Green-Glasgow, KY"
500,500,"Seattle-Tacoma, WA"
408,408,"New York-Newark, NY-NJ-CT-PA"
298,298,"Jackson-Vicksburg-Brookhaven, MS"
297,297,"Jackson-Brownsville, TN"
154,154,"Brownsville-Harlingen-Raymondville, TX"
160,160,"Buffalo-Cheektowaga-Olean, NY"
161,161,"Burlington-Fort Madison-Keokuk, IA-IL-MO"
268,268,"Greensboro--Winston-Salem--High Point, NC"
480,480,"Salisbury-Cambridge, MD-DE"
444,444,"Pueblo-Cañon City, CO"
163,163,"Cape Coral-Fort Myers-Naples, FL"
164,164,"Cape Girardeau-Sikeston, MO-IL"
456,456,"Reno-Carson City-Fernley, NV"
168,168,"Cedar Rapids-Iowa City, IA"
338,338,"Lima-Van Wert-Celina, OH"
476,476,"St. Louis-St. Charles-Farmington, MO-IL"
170,170,"Charleston-Huntington-Ashland, WV-OH-KY"
176,176,"Chicago-Naperville, IL-IN-WI"
178,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
185,185,"Cleveland-Indianola, MS"
209,209,"Davenport-Moline, IA-IL"
188,188,"Clovis-Portales, NM"
434,434,"Ponce-Yauco-Coamo, PR"
518,518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
190,190,"Columbia-Moberly-Mexico, MO"
192,192,"Columbia-Orangeburg-Newberry, SC"
294,294,"Indianapolis-Carmel-Muncie, IN"
200,200,"Columbus-West Point, MS"
458,458,"Richmond-Connersville, IN"
539,539,"Tupelo-Corinth, MS"
236,236,"Elmira-Corning, NY"
296,296,"Ithaca-Cortland, NY"
525,525,"Steamboat Springs-Craig, CO"
380,380,"Mobile-Daphne-Fairhope, AL"
212,212,"Dayton-Springfield-Kettering, OH"
290,290,"Huntsville-Decatur, AL"
422,422,"Orlando-Lakeland-Deltona, FL"
217,217,"DeRidder-Fort Polk South, LA"
221,221,"Dixon-Sterling, IL"
222,222,"Dothan-Ozark, AL"
524,524,"State College-DuBois, PA"
450,450,"Raleigh-Durham-Cary, NC"
232,232,"Eau Claire-Menomonie, WI"
233,233,"Edwards-Glenwood Springs, CO"
545,545,"Virginia Beach-Norfolk, VA-NC"
515,515,"South Bend-Elkhart-Mishawaka, IN-MI"
238,238,"El Paso-Las Cruces, TX-NM"
240,240,"Erie-Meadville, PA"
390,390,"Morgantown-Fairmont, WV"
244,244,"Fargo-Wahpeton, ND-MN"
378,378,"Minneapolis-St. Paul, MN-WI"
246,246,"Fayetteville-Sanford-Lumberton, NC"
534,534,"Toledo-Findlay-Tiffin, OH"
368,368,"Memphis-Forrest City, TN-MS-AR"
497,497,"Scottsboro-Fort Payne, AL"
320,320,"Lafayette-West Lafayette-Frankfort, IN"
336,336,"Lexington-Fayette--Richmond--Frankfort, KY"
