protest_type_id,protest_type_name,protest_type_slug
229,march,march
125,demonstration,demonstration
397,rally,rally
346,protest,protest
521,vigil,vigil
483,strike,strike
109,counter protest,counterprotest
545,Walkout,walkout
525,vigil/rally,vigilrally
31,banner drop,bannerdrop
79,car protest,carprotest
132, die-in,diein
9,arson,arson
135,direct action,directaction
186,gathering,gathering
195, hike,hike
492, swim,swim
116,dance protest,danceprotest
71,caravan,caravan
58, boycott,boycott
66, candidate forum,candidateforum
252,memorial,memorial
15,artistic performance,artisticperformance
311,picket,picket
331,prayer rally,prayerrally
359,protest/march,protestmarch
159,eat-in,eatin
73,car caravan,carcaravan
488,stroke,stroke
47, blockade,blockade
191,group photo,groupphoto
449, sit in,sitin
540,walk,walk
237,March/Parade,marchparade
300, parade,parade
468,speak-out,speakout
352,protest & blockade,protestblockade
347,protest0,protest0
443,silent protest,silentprotest
343,protes,protes
111,create protest mural,createprotestmural
56,body bag rally,bodybagrally
41,bike ride,bikeride
402,rallying,rallying
544,walk in,walkin
148," ""drive""",drive
150,drive by,driveby
7, and livestream,andlivestream
154,drive-in rally,driveinrally
340, press conference,pressconference
370,protests,protests
429, science fair,sciencefair
464,solidarity gathering,solidaritygathering
467,Speaking Event,speakingevent
308, Petition,petition
335,prayer vigil,prayervigil
174,flash art,flashart
92,church service,churchservice
193,hanging of banners,hangingofbanners
201, hunger strike,hungerstrike
410,raly,raly
403,rally & march,rallymarch
342,Prostest,prostest
221, lock down,lockdown
286,occupation,occupation
420, road blockade,roadblockade
123,demo,demo
530,virtual march,virtualmarch
385,Public Forum,publicforum
275," ""noise rally""",noiserally
283,nurse-in,nursein
532,virtual rally,virtualrally
232,march and rally,marchandrally
181, fundraiser,fundraiser
200,human chain,humanchain
149, drive around,drivearound
36, bicycle ride,bicycleride
298,paddleout,paddleout
491,support walkout,supportwalkout
355,Protest Event,protestevent
53, block streets,blockstreets
248,Meeting,meeting
128, demonstratoin,demonstratoin
366,protest parade,protestparade
519,vandalization,vandalization
326,prayer circle,prayercircle
365,protestors,protestors
127,demonstrations,demonstrations
129,demonstraton,demonstraton
124,demonstartion,demonstartion
376,protest vandalism,protestvandalism
427, run,run
522,Vigil and demonstration,vigilanddemonstration
55,boat rally,boatrally
210,kayak protest,kayakprotest
418, riot,riot
30,banging pots protest,bangingpotsprotest
82, Casserole Protests (Cacerolazo),casseroleprotestscacerolazo
54,boat parade,boatparade
218,lemonade stand,lemonadestand
358,protest in trees,protestintrees
20,assault,assault
23,autonomous action,autonomousaction
552,warning,warning
360,protest motorcade,protestmotorcade
377,protest/vigil,protestvigil
441,silent march,silentmarch
108, costume parade,costumeparade
356,protest hike,protesthike
284,observance,observance
106, convoy,convoy
463, slow roll,slowroll
217, leafletting,leafletting
113, dance,dance
239,march & rally,marchrally
52,block street,blockstreet
325, prayer,prayer
88,chalk walk,chalkwalk
419, roadblock,roadblock
196,honk and wave,honkandwave
480, street chalk,streetchalk
255, minute of silence,minuteofsilence
374,protest tailgate,protesttailgate
351,protest bike ride,protestbikeride
444,silent vigil,silentvigil
115,dance performance,danceperformance
447, sing-out,singout
542, walk & chalk,walkchalk
457,skating protest,skatingprotest
65,camp out,campout
417,ride out,rideout
271,musical performance,musicalperformance
19, art show,artshow
565,yoga,yoga
509,truck rally,truckrally
158,drive-up protest,driveupprotest
514,unity prayer walk,unityprayerwalk
34,bicycle protest,bicycleprotest
559,work out rally,workoutrally
453,skate,skate
531,virtual protest,virtualprotest
156,drive-thru rally,drivethrurally
80,car rally,carrally
446, sing-in,singin
102,community gathering,communitygathering
155,drive-thru protest,drivethruprotest
392,rakky,rakky
151,drive-by demonstration,drivebydemonstration
455,skate protest,skateprotest
493,swim out,swimout
83, celebration,celebration
567,yoga session,yogasession
39,bike protest,bikeprotest
167,exorcism,exorcism
68,candlelight vigil,candlelightvigil
28, ballon release,ballonrelease
1,0.0,00
246,meditation,meditation
269,mural painting,muralpainting
423,roller skating,rollerskating
422,roller skate,rollerskate
433,shutdown,shutdown
451,sit-in protest,sitinprotest
495, taking a knee,takingaknee
70,car and bike ride,carandbikeride
222,logout,logout
212,kneel-in,kneelin
93,civil disobedience,civildisobedience
362,protest on bikes,protestonbikes
523,vigil in cars,vigilincars
363,protest on skates,protestonskates
77,car march,carmarch
78,car parade,carparade
62,cacerolazo,cacerolazo
187,go go rally,gogorally
175,flashmob,flashmob
172,festival,festival
329,prayer march,prayermarch
238,march/protest,marchprotest
215, konbit,konbit
152,drive-by protest,drivebyprotest
512, turned violent,turnedviolent
330,prayer protest,prayerprotest
244, match,match
177, float out,floatout
479,street blockade,streetblockade
46,BLM block party,blmblockparty
87,chalk protest,chalkprotest
12,art demonstration,artdemonstration
203,incident,incident
476,standout,standout
394,rallies,rallies
481,street painting,streetpainting
461,sleep-out,sleepout
462,"""sleep-out"" protest",sleepoutprotest
381,protets,protets
517, vandalism,vandalism
499, tear gas used,teargasused
81, cars and bikes,carsandbikes
507,truck parade,truckparade
320, police used force and teargas and pepper spray after 8 PM,policeusedforceandteargasandpeppersprayafter8pm
49,block highway,blockhighway
395,rallly,rallly
