region_id,name,type,fips_code
1,US,national,US
2,AL,state,01
3,AK,state,02
4,AZ,state,04
5,AR,state,05
6,CA,state,06
7,CO,state,08
8,CT,state,09
9,DE,state,10
10,DC,state,11
11,FL,state,12
12,GA,state,13
13,HI,state,15
14,ID,state,16
15,IL,state,17
16,IN,state,18
17,IA,state,19
18,KS,state,20
19,KY,state,21
20,LA,state,22
21,ME,state,23
22,MD,state,24
23,MA,state,25
24,MI,state,26
25,MN,state,27
26,MS,state,28
27,MO,state,29
28,MT,state,30
29,NE,state,31
30,NV,state,32
31,NH,state,33
32,NJ,state,34
33,NM,state,35
34,NY,state,36
35,NC,state,37
36,ND,state,38
37,OH,state,39
38,OK,state,40
39,OR,state,41
40,PA,state,42
41,RI,state,44
42,SC,state,45
43,SD,state,46
44,TN,state,47
45,TX,state,48
46,UT,state,49
47,VT,state,50
48,VA,state,51
49,WA,state,53
50,WV,state,54
51,WI,state,55
52,WY,state,56
53,PR,territory,72
54,New.York_Metro_Area,msa,35620
55,Los.Angeles_Metro_Area,msa,31080
56,Chicago_Metro_Area,msa,16980
57,Dallas_Metro_Area,msa,19100
58,Houston_Metro_Area,msa,26420
59,Atlanta_Metro_Area,msa,12060
60,Phoenix_Metro_Area,msa,38060
61,Miami_Metro_Area,msa,33100
62,Philadelphia_Metro_Area,msa,37980
63,Washington.DC_Metro_Area,msa,47900
64,Boston_Metro_Area,msa,14460
65,San.Francisco_Metro_Area,msa,41860
66,Riverside_Metro_Area,msa,40140
67,Detroit_Metro_Area,msa,19820
68,Seattle_Metro_Area,msa,42660
