survey_response_id,survey_id,region_id,response_id,characteristic_id,respondents_count
1,1,1,1,1,862611
2,1,1,1,2,4827024
3,1,1,1,3,5353487
4,1,1,1,4,3999984
5,1,1,1,5,3814492
6,1,1,2,1,21549582
7,1,1,2,2,60098682
8,1,1,2,3,56479038
9,1,1,2,4,38682164
10,1,1,2,5,49760794
11,1,1,3,1,2324927
12,1,1,3,2,463386
13,1,1,3,3,351940
14,1,1,3,4,213085
15,1,1,3,5,389719
16,1,1,1,6,7107974
17,1,1,1,7,11749625
18,1,1,2,6,111493485
19,1,1,2,7,115076775
20,1,1,3,6,1930151
21,1,1,3,7,1812906
22,1,1,1,8,2482130
23,1,1,1,9,12446780
24,1,1,1,10,1636660
25,1,1,1,11,1715637
26,1,1,1,12,576392
27,1,1,2,8,39440328
28,1,1,2,9,141309820
29,1,1,2,10,25959551
30,1,1,2,11,11176087
31,1,1,2,12,8684475
32,1,1,3,8,819885
33,1,1,3,9,2090282
34,1,1,3,10,567284
35,1,1,3,11,185629
36,1,1,3,12,79977
37,1,1,1,13,783542
38,1,1,1,14,3059319
39,1,1,1,15,5777841
40,1,1,1,16,9236896
41,1,1,2,13,20211595
42,1,1,2,14,72121831
43,1,1,2,15,68851318
44,1,1,2,16,65385515
45,1,1,3,13,241742
46,1,1,3,14,1087407
47,1,1,3,15,1420313
48,1,1,3,16,993596
49,1,1,1,17,12155921
50,1,1,1,18,681315
51,1,1,1,19,2442189
52,1,1,1,20,3469806
53,1,1,1,21,108367
54,1,1,2,17,122256874
55,1,1,2,18,9490564
56,1,1,2,19,31937167
57,1,1,2,20,61557129
58,1,1,2,21,1328526
59,1,1,3,17,160643
60,1,1,3,18,31337
61,1,1,3,19,40214
62,1,1,3,20,75511
63,1,1,3,21,3435353
64,1,1,1,22,847262
65,1,1,1,23,861998
66,1,1,1,24,1203309
67,1,1,1,25,2202527
68,1,1,1,26,1811008
69,1,1,1,27,2845394
70,1,1,1,28,1492183
71,1,1,1,29,1812768
72,1,1,1,30,5781152
73,1,1,2,22,23599122
74,1,1,2,23,18172778
75,1,1,2,24,21210442
76,1,1,2,25,28224494
77,1,1,2,26,20678668
78,1,1,2,27,22999424
79,1,1,2,28,10218872
80,1,1,2,29,11853703
81,1,1,2,30,69612756
82,1,1,3,22,34937
83,1,1,3,23,30126
84,1,1,3,24,56328
85,1,1,3,25,53976
86,1,1,3,26,23249
87,1,1,3,27,29250
88,1,1,3,28,8952
89,1,1,3,29,14528
90,1,1,3,30,3491711
91,1,1,1,31,2127403
92,1,1,1,32,16471116
93,1,1,1,33,245458
94,1,1,1,34,13621
95,1,1,2,31,33205975
96,1,1,2,32,190491796
97,1,1,2,33,2315192
98,1,1,2,34,557298
99,1,1,3,31,37840
100,1,1,3,32,332087
101,1,1,3,33,8458
102,1,1,3,34,3364673
103,1,1,1,35,73713
104,1,1,1,36,36542
105,1,1,1,37,27852
106,1,1,1,38,24209
107,1,1,1,39,96436
108,1,1,1,40,40119
109,1,1,1,41,23342
110,1,1,1,42,58255
111,1,1,1,43,34032
112,1,1,1,44,28022
113,1,1,1,45,27177
114,1,1,1,46,20200
115,1,1,1,47,20200
116,1,1,1,48,21046
117,1,1,1,49,21046
118,1,1,1,50,14706
119,1,1,1,51,0
120,1,1,1,52,616729
121,1,1,1,53,18059068
122,1,1,2,35,56881980
123,1,1,2,36,23495108
124,1,1,2,37,10168824
125,1,1,2,38,8362227
126,1,1,2,39,55492978
127,1,1,2,40,31178136
128,1,1,2,41,10131088
129,1,1,2,42,21836746
130,1,1,2,43,20548043
131,1,1,2,44,13200094
132,1,1,2,45,2819419
133,1,1,2,46,7346169
134,1,1,2,47,4348375
135,1,1,2,48,4434309
136,1,1,2,49,2337575
137,1,1,2,50,1971505
138,1,1,2,51,288731
139,1,1,2,52,10380632
140,1,1,2,53,116230692
141,1,1,3,35,53271
142,1,1,3,36,6355
143,1,1,3,37,23443
144,1,1,3,38,9139
145,1,1,3,39,31771
146,1,1,3,40,26431
147,1,1,3,41,1701
148,1,1,3,42,48104
149,1,1,3,43,38349
150,1,1,3,44,28718
151,1,1,3,45,24496
152,1,1,3,46,491
153,1,1,3,47,1652
154,1,1,3,48,23213
155,1,1,3,49,491
156,1,1,3,50,26575
157,1,1,3,51,0
158,1,1,3,52,35086
159,1,1,3,53,3632917
160,1,2,1,1,3061
161,1,2,1,2,58800
162,1,2,1,3,79101
163,1,2,1,4,43570
164,1,2,1,5,71007
165,1,2,2,1,240623
166,1,2,2,2,1013604
167,1,2,2,3,836719
168,1,2,2,4,579078
169,1,2,2,5,725692
170,1,2,3,1,40379
171,1,2,3,2,0
172,1,2,3,3,4829
173,1,2,3,4,0
174,1,2,3,5,20915
175,1,2,1,6,56300
176,1,2,1,7,199240
177,1,2,2,6,1661957
178,1,2,2,7,1733759
179,1,2,3,6,37914
180,1,2,3,7,28209
181,1,2,1,8,49264
182,1,2,1,9,155272
183,1,2,1,10,33172
184,1,2,1,11,6131
185,1,2,1,12,11700
186,1,2,2,8,218954
187,1,2,2,9,2252700
188,1,2,2,10,784011
189,1,2,2,11,32642
190,1,2,2,12,107409
191,1,2,3,8,0
192,1,2,3,9,65281
193,1,2,3,10,842
194,1,2,3,11,0
195,1,2,3,12,0
196,1,2,1,13,67241
197,1,2,1,14,0
198,1,2,1,15,85754
199,1,2,1,16,102544
200,1,2,2,13,315194
201,1,2,2,14,1254565
202,1,2,2,15,1069907
203,1,2,2,16,756049
204,1,2,3,13,10270
205,1,2,3,14,12596
206,1,2,3,15,22886
207,1,2,3,16,20372
208,1,2,1,17,135535
209,1,2,1,18,52694
210,1,2,1,19,26929
211,1,2,1,20,38468
212,1,2,1,21,1912
213,1,2,2,17,1927285
214,1,2,2,18,134861
215,1,2,2,19,566766
216,1,2,2,20,761246
217,1,2,2,21,5559
218,1,2,3,17,1845
219,1,2,3,18,0
220,1,2,3,19,0
221,1,2,3,20,1180
222,1,2,3,21,63097
223,1,2,1,22,75079
224,1,2,1,23,4852
225,1,2,1,24,13875
226,1,2,1,25,38598
227,1,2,1,26,34346
228,1,2,1,27,21417
229,1,2,1,28,6167
230,1,2,1,29,13400
231,1,2,1,30,47806
232,1,2,2,22,421153
233,1,2,2,23,163932
234,1,2,2,24,306374
235,1,2,2,25,389496
236,1,2,2,26,299188
237,1,2,2,27,217342
238,1,2,2,28,117245
239,1,2,2,29,91752
240,1,2,2,30,1389233
241,1,2,3,22,1180
242,1,2,3,23,0
243,1,2,3,24,0
244,1,2,3,25,0
245,1,2,3,26,0
246,1,2,3,27,0
247,1,2,3,28,0
248,1,2,3,29,0
249,1,2,3,30,64943
250,1,2,1,31,40788
251,1,2,1,32,167901
252,1,2,1,33,46849
253,1,2,1,34,0
254,1,2,2,31,582507
255,1,2,2,32,2767001
256,1,2,2,33,46207
257,1,2,2,34,0
258,1,2,3,31,1845
259,1,2,3,32,0
260,1,2,3,33,0
261,1,2,3,34,64278
262,1,2,1,35,0
263,1,2,1,36,0
264,1,2,1,37,0
265,1,2,1,38,0
266,1,2,1,39,0
267,1,2,1,40,0
268,1,2,1,41,0
269,1,2,1,42,0
270,1,2,1,43,0
271,1,2,1,44,0
272,1,2,1,45,0
273,1,2,1,46,0
274,1,2,1,47,0
275,1,2,1,48,0
276,1,2,1,49,0
277,1,2,1,50,0
278,1,2,1,51,0
279,1,2,1,52,1933
280,1,2,1,53,253606
281,1,2,2,35,899386
282,1,2,2,36,498650
283,1,2,2,37,275518
284,1,2,2,38,140379
285,1,2,2,39,931747
286,1,2,2,40,484147
287,1,2,2,41,135198
288,1,2,2,42,403482
289,1,2,2,43,521372
290,1,2,2,44,297648
291,1,2,2,45,20319
292,1,2,2,46,144262
293,1,2,2,47,63543
294,1,2,2,48,66009
295,1,2,2,49,139412
296,1,2,2,50,44433
297,1,2,2,51,0
298,1,2,2,52,200387
299,1,2,2,53,1336447
300,1,2,3,35,0
301,1,2,3,36,0
302,1,2,3,37,0
303,1,2,3,38,0
304,1,2,3,39,0
305,1,2,3,40,0
306,1,2,3,41,0
307,1,2,3,42,0
308,1,2,3,43,0
309,1,2,3,44,0
310,1,2,3,45,0
311,1,2,3,46,0
312,1,2,3,47,0
313,1,2,3,48,0
314,1,2,3,49,0
315,1,2,3,50,0
316,1,2,3,51,0
317,1,2,3,52,0
318,1,2,3,53,66123
319,1,3,1,1,1670
320,1,3,1,2,20299
321,1,3,1,3,12115
322,1,3,1,4,13293
323,1,3,1,5,20231
324,1,3,2,1,45186
325,1,3,2,2,147598
326,1,3,2,3,108686
327,1,3,2,4,78786
328,1,3,2,5,71139
329,1,3,3,1,4220
330,1,3,3,2,0
331,1,3,3,3,667
332,1,3,3,4,136
333,1,3,3,5,899
334,1,3,1,6,23049
335,1,3,1,7,44559
336,1,3,2,6,240345
337,1,3,2,7,211050
338,1,3,3,6,4892
339,1,3,3,7,1030
340,1,3,1,8,5908
341,1,3,1,9,36474
342,1,3,1,10,846
343,1,3,1,11,3460
344,1,3,1,12,20919
345,1,3,2,8,27378
346,1,3,2,9,294098
347,1,3,2,10,11227
348,1,3,2,11,24963
349,1,3,2,12,93729
350,1,3,3,8,361
351,1,3,3,9,5313
352,1,3,3,10,249
353,1,3,3,11,0
354,1,3,3,12,0
355,1,3,1,13,651
356,1,3,1,14,26534
357,1,3,1,15,17088
358,1,3,1,16,23334
359,1,3,2,13,19943
360,1,3,2,14,145393
361,1,3,2,15,166050
362,1,3,2,16,120010
363,1,3,3,13,0
364,1,3,3,14,3681
365,1,3,3,15,939
366,1,3,3,16,1303
367,1,3,1,17,45708
368,1,3,1,18,4074
369,1,3,1,19,9779
370,1,3,1,20,7978
371,1,3,1,21,69
372,1,3,2,17,230824
